date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:37:44	300325/300325	---M-Z	200	added ('OK')	text/html	etag:%2249525-609b6e51704ad-gzip%22	https://themesbrand.com/velzon/html/default/	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/index.html	(from )
03:37:44	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
03:37:45	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-6074310184bab%22	https://themesbrand.com/velzon/html/default/assets/images/favicon.ico	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/default/)
03:37:45	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-60743101f602d-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:45	17905/17905	---M-Z	200	added ('OK')	text/css	etag:%2245f1-607431021060e-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:45	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-60743101964eb-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/layout.js	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/js/layout.js	(from https://themesbrand.com/velzon/html/default/)
03:37:45	282309/282309	---M-Z	200	added ('OK')	text/css	etag:%2244ec5-609b6e5152042-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:46	604709/604709	---MCZ	200	added ('OK')	text/css	etag:%2293a25-609b6e5153f83-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/icons.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:46	339555/339555	---M-Z	200	added ('OK')	text/css	etag:%2252e63-609b6e51510a2-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/app.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:46	44/44	---M--	200	added ('OK')	text/css	etag:%222c-60743101676ea%22	https://themesbrand.com/velzon/html/default/assets/css/custom.min.css	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/default/)
03:37:46	300325/300325	---M-Z	200	added ('OK')	text/html	etag:%2249525-609b6e51704ad-gzip%22	https://themesbrand.com/velzon/html/default/index.html	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/index-2.html	(from https://themesbrand.com/velzon/html/default/)
03:37:46	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-sm.png	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/default/)
03:37:47	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-dark.png	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/default/)
03:37:47	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-light.png	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/default/)
03:37:47	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	C:/Users/MM%20COMPUTER/OneDrive/Documents/free%20layout/velzon/themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/default/)
